Rank,Company Name,Webpage,Description,Location,Year end,Annual sales rise over 3 years,Sales Â£000s,Staff,Comments
1,Plan.com,http://www.plan.com,Communications provider,Isle of Man,17-Sep,364.38,35418,90,"About 650 partners use its telecoms platform to support more than 100,000 UK business customers"
2,PsiOxus,http://www.psioxus.com,Biotechnology developer,Oxfordshire,17-Dec,311.67,53136,54,Received a $15m milestone payment from its development partner Bristol-Myers Squibb in December
3,CensorNet,http://www.censornet.com,Cloud security software developer,Basingstoke,17-Dec,210.17,7535,77,"Has more than 4,000 customers, including McDonaldâ€™s in France and the European Central Bank"
4,thoughtonomy,http://www.thoughtonomy.com,Automation software developer,East London,18-May,205.2,16916,100,It sells to 28 countries and 50% of revenue is generated from overseas
5,Perkbox,http://www.perkbox.com,Employee engagement services,Central London,17-Dec,204.12,34700,200,Acquired software platform Loyalty Bay for an undisclosed sum in November
6,Ogury,http://www.ogury.com,Mobile data marketing,North London,17-Dec,204.09,33760,133,It has access to data from more than 400m mobile phone users in 120 countries
7,Verve,http://www.verve.co,Marketing software developer,Central London,17-Dec,202.15,10747,130,"Its network of 25,000 â€˜micro-influencersâ€™ have sold half a million event tickets since 2014"
8,goHenry,http://www.gohenry.co.uk,Children's pre-paid card developer,Central London,17-Dec,200.87,6116,61,The company is named after the first child to make a transaction with one of its cards
9,Darktrace,http://www.darktrace.com,Cybersecurity developer,Cambridge,18-Jun,195.51,58573,694,Was reportedly valued at $1.25bn in April when Vitruvian Partners bought a small stake
10,Bizuma,http://www.bizuma.com,B2B e-commerce platform,Central London,18-Mar,181.75,9608,48,Originally founded as a flash sales website before changing direction in 2014
11,Depop,http://www.depop.com,Social shopping app,Central London,17-Dec,175.7,94300,95,More than 10m people use its platform to buy and sell vintage clothing
12,Laser Wire Solutions,http://www.laserwiresolutions.com,Laser wire-stripping machinery,Pontypridd,17-Dec,173.41,5114,26,Swiss technology group Schleuniger took a 20% stake in 2016
13,Bought By Many,http://www.boughtbymany.com,Specialist insurance platform,Central London,18-Mar,170.2,19727,78,Launched its own travel insurance policy for people with severe medical conditions in December
14,Optal,http://www.optal.com,Payment services provider,Central London,17-Dec,169.29,177653,65,Uses the Mastercard processing network to facilitate payments in 34 currencies
15,Infinox,http://www.infinox.com,Currency trading platform,Central London,18-Mar,155.18,41700,48,Provides users with an AI-generated news feed that could affect currency trades
16,Oakbrook,http://www.oakbrookfinance.com,Consumer finance provider,Nottingham,17-Dec,154.54,40400,98,Uses machine learning to help estimate borrowersâ€™ credit risk
17,Carwow,http://www.carwow.co.uk,Car sales platform,Central London,17-Dec,147.21,15276,127,Claims its car review videos have more viewers than the hit BBC series Top Gear
18,Receipt Bank,http://www.receipt-bank.com,Book-keeping automation services,Central London,17-Dec,146.07,11667,341,"Says 150,000 businesses in America, Europe and Australia use its book-keeping software"
19,dB Broadcast,http://www.dbbroadcast.co.uk,Broadcast technology provider,Cambridgeshire,17-Sep,143.58,34943,50,"Its key customers include Sky, YouTube, Bloomberg and the BBC"
20,The Car Buying Group,http://www.thecarbuyinggroup.co.uk,Car sales platform,Wakefield,18-Mar,140.89,39140,31,Runs a free nationwide doorstep vehicle collection service
21,Festicket,http://www.festicket.com,Festival booking platform,Central London,17-Dec,139.86,35839,88,"Sells tickets and packages to more than 1,000 festivals worldwide"
22,Planixs,http://www.planixs.com,Software developer,Manchester,17-Mar,133.7,7240,67,More than Â£200bn worth of transactions have been analysed using its systems
23,Gigaclear,http://www.gigaclear.com,Internet services provider,Oxfordshire,17-Dec,130.17,7402,210,"Has connected more than 16,000 rural customers to broadband in 22 counties"
24,TransferWise,http://www.transferwise.com,Currency transfer provider,East London,18-Mar,129.39,117283,1000,"Was valued at $1.6bn in November after it raised $280m, taking its funding total to $396m"
25,PatSnap,http://www.patsnap.com,R&D data platform,West London,17-Dec,126.18,17977,752,Has raised more than $100m from investors including Sequoia and Shunwei Capital
26,Hyperoptic,http://www.hyperoptic.com,Internet services provider,West London,17-Dec,119.9,16572,411,Aims to provide superfast broadband to more than 2m homes by 2022
27,GoCardless,http://www.gocardless.com,Payment services provider,Central London,17-Dec,112.99,11896,165,"International expansion plans include targeting Australia, New Zealand, Canada and the US"
28,Purple,http://www.purple.ai,Wifi services provider,Oldham,18-Jan,112.88,5586,93,"Its technology is used in every public airport in Spain and in a 21,000-capacity stadium in Miami"
29,Trustpay Global,http://www.trustpayglobal.com,Online payment provider,Guildford,18-Mar,110.45,9796,25,The Premier Lotto in Nigeria uses the companyâ€™s platform to prevent money laundering
30,iwoca,http://www.iwoca.co.uk,Business finance provider,Central London,17-Dec,109.27,25000,200,Its 140 employees include three former Olympians
31,LADBible Group,http://www.theladbible.com,Online entertainment community,Manchester,17-Dec,108.91,15500,133,Claims its flagship brand reaches more than half of all millennials in the UK every month
32,Threads Styling,http://www.threadsstyling.com,Online fashion services,East London,17-Dec,107.88,12672,55,Some three-quarters of its sales are to fashionistas in the Middle East
33,Prodigy Finance,http://www.prodigyfinance.com,Student finance provider,Central London,17-Dec,105.94,10273,133,"More than 10,000 students have used its platform to fund their postgraduate studies"
34,Azimo,http://www.azimo.com,Online money transfers,Central London,17-Jun,103.79,5870,115,Recently launched its international money transfer service for businesses
35,Chameleon,http://www.chameleontechnology.co.uk,Smart energy monitoring,Harrogate,17-Dec,101.1,19890,32,About 2.5m of its energy display units have been installed in UK homes
36,SuperAwesome,http://www.superawesome.tv,Children's privacy protection,Central London,17-Dec,97.91,14935,130,"Last month it signed a deal with PokÃ©mon Go, allowing parents to manage their childâ€™s privacy settings"
37,Gousto,http://www.gousto.co.uk,Meal kit delivery services,West London,17-Dec,97.32,23300,400,Aims to provide the ingredients for 400m meals in UK homes by 2025
38,Vizolution,http://www.vizolution.co.uk,Business software developer,Swansea,17-Dec,94.99,6965,118,Its DigiDocs software lets RBS customers complete mortgage applications digitally
39,MoveGB,http://www.movegb.com,Activity membership,Bath,17-Dec,94.93,5029,41,"Has 300,000 subscribers gaining access to more than 6,000 fitness venues"
40,BBOXX,http://www.bboxx.co.uk,Solar system manufacturer,West London,17-Dec,93.35,20416,443,Has raised almost $70m in venture funding and debt financing
41,Funding Circle,http://www.fundingcircle.com,Peer-to-peer lending platform,Central London,17-Dec,93.21,94500,790,Is planning an IPO in London this autumn that will value it at more than Â£1.5bn 
42,LoopMe,http://www.loopme.com,Advertising technology developer,Central London,17-Dec,93.04,24493,91,Says its AI technology reaches 2bn devices around the world
43,Kano,http://www.kano.me,Educational computer developer,East London,17-Dec,91.81,13000,60,Has customers in 150 countries and aims to have 100m global users by 2020
44,Capital on Tap,http://www.capitalontap.com,Business finance provider,West London,18-Mar,88.73,17318,56,"This companyâ€™s founders also set up Paymentsense, No 91 in the league table"
45,Hutch,http://www.hutchgames.com,Video games developer,Central London,17-Sep,88.63,8766,51,Its Hot Wheels Race Off game has been played in 190 countries including Antarctica and Vatican City
46,ENSEK,http://www.ensek.co.uk,Energy software developer,Nottingham,18-Mar,87.56,6161,110,A fifth of the UKâ€™s energy suppliers are said to use this companyâ€™s software
47,MiQ,http://www.wearemiq.com,Digital marketing agency,Central London,17-Dec,87.36,155876,561,"Relocated its New York base in April, tripling its office space"
48,StarLeaf,http://www.starleaf.com,Video conferencing platform,Watford,17-Dec,86.89,11427,133,Its founders set up the Tech Track 100 alumnus Codian and sold it for $270m in 2007
49,BigChange,http://www.bigchangeapps.com,Management software developer,Leeds,17-Dec,86.45,6566,41,Last year its technology saved 15m sheets of paper and facilitated 9m tasks
50,The Lead Agency,http://www.theleadagency.com,Lead generation developer,Liverpool,17-Dec,80.38, 6383,96,Works with every large automotive brand in the UK
51,UNiDAYS,http://www.myunidays.com,Student verification services,Nottingham,18-Apr,80.03,27400,210,Connects brands with 10m students in 114 countries
52,Farfetch,http://www.farfetch.com,Online fashion platform,East London,17-Dec,78.31,299812,"2,700",Has announced plans to float in the US with a reported $5bn valuation
53,Assetz Capital,http://www.assetzcapital.co.uk,Peer-to-peer lending platform,Manchester,18-Mar,77.91,13700,98,"Has funded the construction of 1,800 new homes since 2013"
54,iPulse,http://www.cyden.com,Hair removal technology,Swansea,17-Dec,77.12,32874,39,Almost 95% of its hair removal devices are sold overseas
55,Giacom,http://www.giacom.com,Cloud services provider,Hull,17-Jul,76.14,13883,49,"It now reaches more than 500,000 end users across the UK"
56,Arcus Global,http://www.arcusglobal.com,Cloud IT developer,Cambridge,17-Jun,75.57,9681,110,"In May it secured a Â£3m investment from the private equity firm YFM, valuing it at Â£27m"
57,disguise,http://www.disguise.one,Live event technology provider,Central London,17-Dec,75.46,17971,59,Customers include the likes of Disney and Universal Studios
58,Tech21,http://www.tech21.com,Device impact protection maker,Southwest London,17-May,75.34,121576,81,Became an inaugural member of Googleâ€™s certified accessories programme last year
59,Victor,http://www.flyvictor.com,Online private jet hire,Central London,17-Dec,74.13,41508,113,Counts Sir Elton John among its investors
60,Cinesite,http://www.cinesite.com,Visual effects and animation,Central London,17-Apr,74.11,43888,699,Is producing visual effects for Mary Poppins Returns and the Marvel franchise
61,Biosite Systems,http://www.biositesystems.com,Workforce management software,Solihull,17-Jul,74.04,6401,117,"More than 200,000 of the UKâ€™s construction workers are registered on its systems"
62,Ecometrica,http://www.ecometrica.com,Environmental reporting software,Edinburgh,18-Mar,71.67,5496,40,Helps 250 companies on five continents to manage their environmental impacts
63,Qualasept Pharmaxo,http://www.bathasu.com,Pharmaceuticals manufacturer,Wiltshire,17-Apr,70.89,152744,156,Its manufacturing facility and offices have a zero carbon footprint
64,Edesix,http://www.edesix.com,Body camera manufacturer,Edinburgh,17-Dec,70.52,5900,47,Founders Richie McBride and Robin Iddon competed on the TV show Robot Wars
65,LendInvest,http://www.lendinvest.com,Property finance provider,Central London,18-Mar,70.13,35617,128,Has facilitated more than Â£1.4bn of property loans
66,E3D Online,http://www.e3d-online.com,3D printer developer,Oxfordshire,18-Apr,69.08,5800,41,Has grown its exports to account for 75% of its total sales
67,Lyst,http://www.lyst.com,Fashion search platform,East London,18-Mar,68.34,15300,100,"LVMH, the owner of Christian Dior and Louis Vuitton, invested an undisclosed amount in May"
68,Diaceutics,http://www.diaceutics.com,Medtech research provider,Belfast,17-Dec,67.8,7390,57,Works with 31 of the top 35 pharmaceutical companies in the world
69,Amplience,http://www.amplience.com,Digital media technology,Central London,17-Jun,66.25,8147,85,Helps retailers such as Argos and Mulberry to create and manage online content
70,GlucoRx,http://www.glucorx.co.uk,Diabetes product manufacturer,Woking,17-Mar,65.52,24885,26,Claims to have saved the NHS Â£150m in the past three years
71,Love Energy Savings,http://www.loveenergysavings.com,Price comparison website,Bolton,17-Dec,64.26,17361,183,"Has helped 145,000 UK homes and businesses save on energy costs since 2007"
72,Creative Virtual,http://www.creativevirtual.com,Chatbot developer,East London,17-Dec,63.3,8400,99,Its trademarked chatbot can be used through Facebook Messenger and Amazon Alexa
73,Ebury,http://www.eburypartners.com,Business finance provider,Central London,18-Apr,62.77,47000,628,Has traded Â£12.5bn in foreign exchange in 140 different currencies
74,ZappiStore,http://www.zappistore.com,Research services provider,Central London,17-Dec,61.62,19323,128,Holds weekly hackathons with its clients and programmers
75,Blis,http://www.blis.com,Location data technology,Central London,17-Dec,61.28,33400,186,Analyses more than 5.5bn data points each day
76,BookingBug,http://www.bookingbug.co.uk,Booking systems developer,Central London,18-Mar,60.61,6937,117,Raised nearly Â£10m in April from backers including PeakSpan Capital and Downing Ventures
77,Egress,http://www.egress.com,Data security provider,Central London,17-Dec,60.22,9403,115,Users of its platform can revoke access to emails after they have reached the recipientâ€™s inbox
78,Contis Group,http://www.contisgroup.com,Payment services provider,North Yorkshire,17-Mar,59.56,7161,86,Appointed the former European boss of American Express to drive sales on the continent
79,PM Connect,http://www.pmconnect.co.uk,Mobile content provider,Birmingham,18-Feb,59.44,19317,35,Its clients include World Wrestling Entertainment and the NBA
80,Zopa,http://www.zopa.com,Peer-to-peer lending platform,South London,17-Dec,59.43,46500,312,About Â£3.5bn has been advanced through its platform
81,WorldRemit,http://www.worldremit.com,Online money transfers,Central London,17-Dec,59.07,61000,440,Has raised $220m since 2010 to expand its online money transfer service
82,Dianomi,http://www.dianomi.com,Financial content marketing,Central London,17-Dec,58.99,12861,25,Works with eight of the top 10 global asset managers
83,Liberis,http://www.liberis.co.uk,Cash advance provider,West London,17-Dec,57.99,15150,75,Received Â£57.5m in funding in April from investors including Blenheim Chalcot
84,Currencycloud,http://www.thecurrencycloud.com,Payment services provider,East London,17-Dec,57.48,13600,140,Has 250 clients and 2m end users across the world
85,Featurespace,http://www.featurespace.co.uk,Analytics software developer,Cambridge,17-Dec,57.48,5170,113,"Is recruiting for more than 100 positions this year, following customer demand in UK and US"
86,Cloud Technology Solutions,http://www.cloudsolutions.co.uk,Cloud IT developer,Manchester,18-Mar,57.21,21902,102,"Its software has moved nearly 12,000 companies in 20 countries onto Google Apps"
87,Leisure Pass Group,http://www.leisurepassgroup.com,Tourism smartcard developer,Central London,17-Dec,57.16, 225803,105,Has partnered with the booking platform Ctrip to target Chinese tourists visiting Europe
88,rradar,http://www.rradar.com,Legal digital services,Hull,17-Dec,57.03,5083,125,Uses machine learning and AI to provide legal advice to customers
89,Converge TS,http://www.cts.co.uk,Cloud services provider,Cheshire,17-Dec,55,5802,38,Focused solely on the legal sector after its first three clients were all law firms
90,Kimble Applications,http://www.kimbleapps.com,Software developer,Central London,17-Dec,54.67,9153,78,"More than half of its new business is in the US, where it has offices in Boston and Park City"
91,Paymentsense,http://www.paymentsense.co.uk,Payment services provider,West London,18-Mar,53.54,72400,243,Processed more than Â£6.5bn of card payments last year in the UK and Ireland
92,Godel Technologies,http://www.godeltech.com,Software developer,Manchester,17-Dec,53.01,13853,637,Is named after the late German mathematician Kurt GÃ¶del
93,Secret Escapes,http://www.secretescapes.com,Online travel services,Central London,17-Dec,52.99,73000,850,Has raised Â£132m from investors including Google Ventures
94,Neuven,http://www.neuven.co.uk,HR software developer,Manchester,17-Jul,52.23,130071,28,Appearing on Tech Track 100 for a fourth consecutive year
95,CitNOW,http://www.citnow.com,Video software developer,Wokingham,17-Dec,51.85,11611,71,"Has more than 8,000 installations in franchised car dealerships in 45 countries"
96,geo,http://www.geotogether.com,Smart energy monitoring,Cambridge,18-Mar,51.24,29406,85,"Customers in Norway, Sweden and Luxembourg use its smart energy monitoring devices"
97,Vision RT,http://www.visionrt.com,Medical technology developer,North London,17-Jul,50.99,32468,132,Has secured 60 patents and has another 46 pending
98,Thread,http://www.thread.com,Online fashion services,Central London,17-Dec,50.77,6492,60,"More than 800,000 men subscribe to its free personal styling service"
99,The Media Image,http://www.the-media-image.com,Digital marketing agency,South London,18-Feb,50.38,27515,37,Founded by the man who was Google UKâ€™s first recruit when it launched its AdWords service in 2002
100,Brompton Technology,http://www.bromptontech.com,Video technology provider,West London,17-Aug,50.17,5250,27,Its technology is used in high-profile events such as the Oscars
